,,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
13,100,3047727,36961,107581999,125867413,149148,1120270,1568028,3630855,1630821,2385952,244175,28950,23193191,20429838,0,535,24763323,313658374
13,200,3260959,4460,111919860,133967199,37169,942143,1458876,3150622,1417245,2510258,221008,27198,25792962,25886188,11,0,29539559,378419612
13,300,2725075,3585,109708425,136902657,142275,1213022,1723115,3908137,1744626,2574369,247871,24702,27092481,36245718,0,0,23634809,318356127
13,400,5654589,7000,122175347,261815445,65470,587623,2623492,6177811,3387897,4204941,432428,27666,49920251,85619836,0,0,34053942,376135926
13,500,5101404,6524,103266014,228520629,257782,783987,2650026,6933421,4171051,5193389,112265,32140,57366166,87185608,0,0,30236324,317340863
13,600,3793467,5730,122857574,172778474,47778,1111392,1515376,2815114,1335749,2442433,266052,34906,25090126,34120691,0,553,30818944,369402712
13,700,3156205,4354,105936811,129231315,35021,1097142,1473818,3609330,1507435,2146488,315078,31552,29525623,30879445,0,0,29947204,374903610
13,800,2993285,4152,120057546,145933881,145948,1299283,1809640,4142639,1570575,2125693,382409,33123,25260270,25399733,0,0,24979788,322446079
13,900,3306947,4719,122602167,143330599,117587,1069820,1573751,3458419,1160684,1884830,203531,23188,27298788,31793659,10,0,29231424,376833385
13,1000,2729724,4709,103766004,130631858,41961,1132038,1754422,4144546,1801058,2454518,234042,23155,20403235,23020637,0,0,25670366,315136297
13,1100,3359877,4621,123317100,151589869,49297,1117980,1753394,3889327,1539384,2357231,414477,23687,12005001,16556794,0,0,29747445,381756803
13,1200,2883783,3896,103277491,126964275,30728,890242,1607176,3774064,1610374,1826600,191388,28174,27598499,26369362,10,0,27781242,344803967
